"","x"
"1378","MM622"
"1379","MM621"
"1380","MM620"
"1381","MM619"
"1382","MM618"
"1383","MM617"
"1384","MM616"
"1385","MM615"
"1386","MM614"
"1387","MM613"
"1388","MM612"
"1389","MM611"
"1390","MM610"
"1391","MM609"
"1392","MM608"
"1393","MM607"
"1394","MM606"
"1395","MM605"
"1396","MM604"
"1397","MM603"
"1398","MM602"
"1399","MM601"
"1400","MM600"
"1401","MM599"
"1402","MM598"
"1403","MM597"
"1404","MM596"
"1405","MM595"
"1406","MM594"
"1407","MM593"
"1408","MM592"
"1409","MM591"
"1410","MM590"
"1411","MM589"
"1412","MM588"
"1413","MM587"
"1414","MM586"
"1415","MM585"
"1416","MM584"
"1417","MM583"
"1418","MM582"
"1419","MM581"
"1420","MM580"
"1421","MM579"
"1422","MM578"
"1423","MM577"
"1424","MM576"
"1425","MM575"
"1426","MM574"
"1427","MM573"
"1428","MM572"
"1429","MM571"
"1430","MM570"
"1431","MM569"
"1432","MM568"
"1433","MM567"
"1434","MM566"
"1435","MM565"
"1436","MM564"
"1437","MM563"
"1438","MM562"
"1439","MM561"
"1440","MM560"
"1441","MM559"
